Date,Open,High,Low,Close,Adj Close,Volume
12-08-2013,920.5,920.5,904.075012,907,734.104248,2077574
13-08-2013,910.099976,922.424988,904.974976,909.900024,736.451233,2168296
14-08-2013,912.25,929,901,916.75,741.995483,3302068
16-08-2013,912.099976,915,877.775024,890.450012,720.70874,2779930
19-08-2013,899,903.5,877.775024,888.724976,719.312622,2121352
20-08-2013,894.900024,894.900024,865,868.200012,702.700256,2724844
21-08-2013,870.049988,871.849976,850.575012,858.900024,695.173035,3623994
22-08-2013,852.5,898.575012,847.599976,889.474976,719.919739,4260988
23-08-2013,897,919,892.150024,914.724976,740.356506,4032884
26-08-2013,911.549988,939.299988,907,921,745.435181,2663238
27-08-2013,919.5,939.424988,915,919.400024,744.14032,1945284
28-08-2013,914,973.049988,914,953.950012,772.104309,4444684
29-08-2013,950.5,985,939.150024,973.549988,787.967773,5905182
30-08-2013,969.5,1025,965,1016.599976,822.811768,5282942
02-09-2013,1010,1034.5,1008.75,1028.425049,832.382568,2154034
03-09-2013,1025.050049,1033.5,993.075012,1000.549988,809.821167,2355064
04-09-2013,1000,1039.400024,996.974976,1034.550049,837.339966,2626516
05-09-2013,1034.5,1034.5,990.525024,995.375,805.632507,3927492
06-09-2013,1004.5,1012.5,987.5,994.400024,804.843506,2759596
10-09-2013,993,1008.349976,990.5,993.950012,804.479187,4300972
11-09-2013,1004,1009,991.75,996.900024,806.867004,3008494
12-09-2013,997.5,999.275024,972.900024,983.950012,796.385681,1905568
13-09-2013,982.5,995,973.275024,976.875,790.659119,2096320
16-09-2013,975,992.5,947.025024,951.275024,769.939148,2460506
17-09-2013,950,976.275024,948.549988,973.724976,788.109741,3327816
18-09-2013,971.025024,982.400024,968.950012,977.25,790.962585,2109818
19-09-2013,974,995,963.25,983.150024,795.737793,3907240
20-09-2013,975,994.950012,970.5,975.150024,789.263123,3591858
23-09-2013,975,988.599976,970,977.549988,791.205444,2988758
24-09-2013,977.5,988.950012,963,969.75,784.892456,4940300
25-09-2013,970.75,985.474976,960.099976,979.525024,792.804016,4333858
26-09-2013,977.400024,987.049988,967.549988,971.450012,786.268494,4919704
27-09-2013,971.549988,980.974976,968.724976,974.049988,788.372742,1784666
30-09-2013,977,980.924988,960,963.900024,780.15741,1987350
01-10-2013,966,977.424988,958.349976,974.525024,788.757202,1591994
03-10-2013,985.900024,1018.450012,980.200012,1012.299988,819.331238,4672354
04-10-2013,1016,1034.5,1013.474976,1016.799988,822.973511,1934032
07-10-2013,1017.5,1048.849976,1012.650024,1044.875,845.696899,1993878
08-10-2013,1041.5,1049,1028.275024,1030.724976,834.244141,1828106
09-10-2013,1027.75,1048.824951,1022.549988,1045.425049,846.141846,1775858
10-10-2013,1044,1049,1033.625,1040,841.751099,1164320
11-10-2013,1051.5,1069,1041.199951,1061.025024,858.768066,2284448
14-10-2013,1063.75,1112.5,1062.5,1106.375,895.473328,4374460
15-10-2013,1117.5,1129.425049,1100.5,1107.699951,896.545776,4665092
17-10-2013,1115,1115,1047.849976,1054.224976,853.264465,6687214
18-10-2013,1052.400024,1066.900024,1030.775024,1060.324951,858.201599,5346166
21-10-2013,1062.5,1063.974976,1025,1035.824951,838.372009,3685372
22-10-2013,1044,1053.824951,1038.425049,1044.675049,845.534912,2044614
23-10-2013,1044.25,1051.5,1023.075012,1030.574951,834.122803,2455496
24-10-2013,1021,1041.175049,1000.924988,1004.349976,812.896729,3617758
25-10-2013,997.5,1036,997.5,1033.875,838.463379,2527402
28-10-2013,1034,1044.900024,1026.275024,1031.974976,836.922302,1803942
29-10-2013,1032.5,1042.900024,1023.950012,1034.900024,839.294495,1829076
30-10-2013,1035.125,1050,1035.125,1045.974976,848.276184,2114874
31-10-2013,1044.5,1064.5,1039.699951,1056.025024,856.426697,3523076
01-11-2013,1055,1070.974976,1045.550049,1048.800049,850.567444,1346480
05-11-2013,1050,1052.5,1015.849976,1021,828.021729,2261286
06-11-2013,1031.5,1051.775024,1029.525024,1045.550049,847.931702,1667750
07-11-2013,1050,1074.074951,1040.150024,1060.974976,860.441284,1956948
08-11-2013,1065,1065.875,1035.599976,1045.425049,847.8302,1609346
11-11-2013,1045,1070,1025,1047.324951,849.371155,1961138
12-11-2013,1048.425049,1060.849976,1039.5,1043.574951,846.329529,1000682
13-11-2013,1049.474976,1053.099976,1021.825012,1024.5,830.860352,1208338
14-11-2013,1036,1036,1010.924988,1013.099976,821.614746,2129704
18-11-2013,1023,1029.949951,1016.125,1022,828.832764,2831602
19-11-2013,1024.974976,1027.5,1010.599976,1014.950012,823.115479,2077864
20-11-2013,1023.424988,1024.949951,1008.5,1011.799988,820.56073,1658696
21-11-2013,1011.599976,1017.349976,990,993.299988,805.55719,2302882
22-11-2013,995.5,1005.5,992.549988,1000.424988,811.335632,1494494
25-11-2013,1004,1013.424988,996.549988,1006.625,816.363586,1950998
26-11-2013,1001.549988,1008.224976,993.5,996.849976,808.436218,2047412
27-11-2013,1004.5,1006.849976,987.5,993.224976,805.496399,2120978
28-11-2013,996.549988,998.275024,985,992.299988,804.746399,2805722
29-11-2013,996,1007.349976,990.900024,1002.174988,812.754883,1924812
02-12-2013,997.5,1010.5,997.5,1006.950012,816.627441,1253260
03-12-2013,1008.025024,1021,1007.525024,1010.400024,819.425415,1449184
04-12-2013,1009.950012,1015.799988,996.825012,1000.025024,811.01123,1519036
05-12-2013,1008,1016.775024,991.525024,993.575012,805.780273,1397190
06-12-2013,995.5,1005,995.5,1000.150024,811.11261,1446962
09-12-2013,1014.5,1014.974976,1000,1002.424988,812.957581,1826340
10-12-2013,1000,1044.5,1000,1041.375,844.545715,3653334
11-12-2013,1039.5,1043.425049,1021.5,1029.025024,834.529846,1556062
12-12-2013,1022.5,1032,1012.549988,1014.450012,822.710022,1655964
13-12-2013,1018.974976,1022.5,997.5,1000.900024,811.720764,3463350
16-12-2013,1006.849976,1019.900024,1002.575012,1009.575012,818.756165,2858500
17-12-2013,1015.799988,1032.925049,1015,1022.674988,829.380005,2995474
18-12-2013,1020,1035.5,1019,1027.900024,833.617493,1587990
19-12-2013,1037.974976,1055,1031.324951,1040.75,844.038818,2161986
20-12-2013,1044.050049,1065,1042.925049,1060.275024,859.873474,1965812
23-12-2013,1064.974976,1071.724976,1048.974976,1054.525024,855.210327,1321224
24-12-2013,1059.900024,1064.5,1052.125,1055.349976,855.879272,870156
26-12-2013,1057.5,1058.5,1045.724976,1050.150024,851.662231,2297194
27-12-2013,1053.5,1084.949951,1052.5,1080.324951,876.133667,2479946
30-12-2013,1085,1087.625,1073.349976,1078.025024,874.268677,1668776
31-12-2013,1080.050049,1092.474976,1075.449951,1086.025024,880.756287,1245776
