            ADANIENT  ADANIPORTS  APOLLOHOSP  ASIANPAINT  AXISBANK  BAJAJ-AUTO  BAJAJFINSV  BAJFINANCE  BHARTIARTL      BPCL  BRITANNIA     CIPLA  COALINDIA  DIVISLAB   DRREDDY  EICHERMOT    GRASIM   HCLTECH      HDFC  HDFCBANK  HDFCLIFE  HEROMOTOCO  HINDALCO  HINDUNILVR  ICICIBANK  INDUSINDBK      INFY       ITC  JSWSTEEL  KOTAKBANK        LT       M&M    MARUTI  NESTLEIND      NTPC      ONGC  POWERGRID  RELIANCE   SBILIFE      SBIN  SUNPHARMA  TATACONSUM  TATAMOTORS  TATASTEEL       TCS     TECHM     TITAN  ULTRACEMCO       UPL     WIPRO
HDFCLIFE   -0.097871  0.260193    0.166456    0.242157    0.128349  0.339501    0.544605    0.300679   -0.195778    0.729068 -0.029621   0.201429 -0.403900   0.624607  0.559468 -0.320391   0.195458  0.376036  0.439550  0.359472  1.000000  0.644660    0.197091  0.112867   -0.021314   0.231410    0.360882 -0.373232  0.193519  0.401305  -0.037019 -0.101549 -0.065844 -0.063557  -0.269929 -0.040000  0.016262   0.133161  0.085850 -0.012081 -0.093144   0.284643    0.067889    0.624048   0.378697  0.394252 -0.074997  0.333925    0.233293  0.584469
HEROMOTOCO  0.071002  0.230205    0.069462    0.184235    0.141024  0.454004    0.119376    0.176646   -0.127359    0.288370  0.279985   0.362238 -0.177973   0.336379  0.645479 -0.501398   0.142017  0.282801  0.238595  0.342110  0.644660  1.000000    0.107872  0.078723    0.048846   0.194771    0.229867 -0.086284  0.151259  0.289803   0.006604  0.211763  0.290896 -0.030785  -0.094833 -0.086419  0.170910   0.328968  0.084132  0.017936  0.061620   0.277947    0.083237    0.139688   0.272557  0.080078 -0.021048  0.164314    0.163499  0.230346
HINDALCO    0.754349  0.903732    0.937475    0.913306    0.787773  0.711638    0.398553    0.921687    0.769307   -0.052047  0.404625   0.829169  0.548625   0.742435  0.296150 -0.651773   0.946689  0.902949  0.762790  0.821504  0.197091  0.107872    1.000000  0.527827    0.854777   0.672498    0.933610  0.499502  0.932711  0.734111   0.848743  0.682899  0.695214  0.602422   0.727861  0.896170  0.683303   0.814583  0.843797  0.885574  0.865118   0.920375    0.900984    0.411761   0.929049  0.855835  0.881674  0.906482    0.901933  0.807913
HINDUNILVR  0.702240  0.638758    0.624267    0.675064    0.644054  0.567092   -0.082913    0.640217    0.624801   -0.151499  0.651242   0.640128  0.629697   0.340806  0.226858 -0.377756   0.660843  0.537607  0.630639  0.644831  0.112867  0.078723    0.527827  1.000000    0.719922   0.589241    0.491518  0.638898  0.649576  0.556508   0.672984  0.710994  0.579288  0.757098   0.669036  0.469833  0.481838   0.493978  0.710881  0.675664  0.684611   0.677925    0.548095   -0.164535   0.532186  0.340358  0.641685  0.662181    0.569881  0.325194
ICICIBANK   0.878338  0.866640    0.898468    0.868113    0.913159  0.767779    0.032454    0.877079    0.900287   -0.276644  0.622349   0.804644  0.836148   0.456164  0.165816 -0.559825   0.934762  0.777640  0.807105  0.865878 -0.021314  0.048846    0.854777  0.719922    1.000000   0.821010    0.754540  0.823220  0.894443  0.782979   0.977547  0.912535  0.879437  0.792140   0.933788  0.890268  0.799146   0.779538  0.916510  0.985726  0.945741   0.874063    0.928255   -0.019083   0.778491  0.639709  0.957833  0.872468    0.843650  0.519146
INDUSINDBK  0.649731  0.722464    0.669928    0.676237    0.925915  0.753641    0.076611    0.797002    0.614100    0.107414  0.464504   0.546807  0.682499   0.373153  0.087737 -0.408479   0.758468  0.601417  0.856438  0.844038  0.231410  0.194771    0.672498  0.589241    0.821010   1.000000    0.565112  0.638283  0.726424  0.819456   0.799699  0.711497  0.719676  0.504169   0.708371  0.670232  0.692253   0.519426  0.747088  0.812854  0.660849   0.686254    0.695578    0.035792   0.590284  0.501406  0.712500  0.738971    0.706041  0.421652
INFY        0.682670  0.865941    0.915083    0.917071    0.676179  0.641506    0.497589    0.902306    0.652103   -0.013800  0.330701   0.853779  0.358911   0.848054  0.452282 -0.735210   0.896239  0.943280  0.727548  0.780600  0.360882  0.229867    0.933610  0.491518    0.754540   0.565112    1.000000  0.330030  0.879534  0.715039   0.735311  0.608372  0.641668  0.524003   0.579231  0.780205  0.589821   0.817724  0.791144  0.779439  0.782272   0.915550    0.842121    0.510502   0.969450  0.921208  0.803252  0.876678    0.860731  0.901994
ITC         0.713599  0.525167    0.587616    0.510883    0.736861  0.608452   -0.438636    0.508699    0.814471   -0.494888  0.772786   0.548892  0.922774  -0.030288  0.004435 -0.268676   0.636249  0.445008  0.534699  0.632353 -0.373232 -0.086284    0.499502  0.638898    0.823220   0.638283    0.330030  1.000000  0.606478  0.483308   0.841229  0.886771  0.792544  0.763586   0.913730  0.673267  0.708373   0.557883  0.681758  0.778619  0.811522   0.557067    0.670480   -0.483057   0.399270  0.189542  0.761949  0.568991    0.521970  0.023217
JSWSTEEL    0.799667  0.918326    0.915966    0.913947    0.846215  0.801250    0.228945    0.889532    0.754725   -0.055652  0.519779   0.871739  0.596367   0.704632  0.422689 -0.691006   0.963804  0.869189  0.795753  0.868666  0.193519  0.151259    0.932711  0.649576    0.894443   0.726424    0.879534  0.606478  1.000000  0.732605   0.870830  0.770432  0.732002  0.673017   0.764515  0.834795  0.746820   0.799471  0.837592  0.904765  0.889177   0.938084    0.875417    0.291474   0.888008  0.746310  0.867636  0.932729    0.922352  0.739601
KOTAKBANK   0.596612  0.762704    0.756464    0.804396    0.792592  0.724260    0.309299    0.866653    0.599648    0.024669  0.384409   0.652224  0.504122   0.617511  0.318249 -0.601692   0.793807  0.756818  0.886261  0.876326  0.401305  0.289803    0.734111  0.556508    0.782979   0.819456    0.715039  0.483308  0.732605  1.000000   0.749648  0.646812  0.696429  0.618942   0.611815  0.696257  0.682882   0.640369  0.722994  0.760372  0.650447   0.770997    0.767647    0.245841   0.755240  0.691422  0.756057  0.779382    0.656457  0.635050
